chr start stop
1 1 14891511
1 14891512 30161881
1 30161882 44969183
1 44969184 58865399
1 58865400 74326907
1 74326908 90066303
1 90066304 103914211
1 103914212 118839067
1 118839068 144977494
1 144977495 159913048
1 159913049 173097907
1 173097908 184595513
1 184595514 199239884
1 199239885 210787750
1 210787751 224938520
1 224938521 237555628
1 237555629 249240543
2 1 16329735
2 16329736 29217559
2 29217560 43309590
2 43309591 57429100
2 57429101 73174848
2 73174849 88038507
2 88038508 101822329
2 101822330 116772470
2 116772471 129474441
2 129474442 144519484
2 144519485 158533218
2 158533219 173138905
2 173138906 189882065
2 189882066 201576284
2 201576285 215573795
2 215573796 231843389
2 231843390 243185856
3 1 14816900
3 14816901 29142260
3 29142261 42540002
3 42540003 58157519
3 58157520 72529329
3 72529330 85582231
3 85582232 99373762
3 99373763 113947863
3 113947864 128194861
3 128194862 143164628
3 143164629 156008700
3 156008701 170964909
3 170964910 185068255
3 185068256 197962381
4 1 15147446
4 15147447 29762208
4 29762209 45189157
4 45189158 60741087
4 60741088 74592390
4 74592391 89238028
4 89238029 105305294
4 105305295 118479918
4 118479919 132954033
4 132954034 148521873
4 148521874 163243679
4 163243680 178991910
4 178991911 191043877
5 1 14757804
5 14757805 27984513
5 27984514 41888710
5 41888711 56621102
5 56621103 71240456
5 71240457 83972689
5 83972690 99260992
5 99260993 111981562
5 111981563 125785649
5 125785650 139265072
5 139265073 153773088
5 153773089 168525318
5 168525319 180790949
6 1 14802924
6 14802925 28917608
6 28917609 43756169
6 43756170 57599465
6 57599466 73450097
6 73450098 87069500
6 87069501 100630146
6 100630147 116131396
6 116131397 129861031
6 129861032 145319810
6 145319811 158218719
6 158218720 171053406
7 1 15143657
7 15143658 31137289
7 31137290 44763828
7 44763829 63307359
7 63307360 73334602
7 73334603 87825004
7 87825005 103197510
7 103197511 116780178
7 116780179 132805848
7 132805849 146427960
7 146427961 159127586
8 1 15991660
8 15991661 31133729
8 31133730 46841315
8 46841316 59068651
8 59068652 73817199
8 73817200 89085481
8 89085482 104123306
8 104123307 119685457
8 119685458 133351144
8 133351145 146303560
9 1 14836363
9 14836364 28811584
9 28811585 65472190
9 65472191 76973081
9 76973082 88109333
9 88109334 98922040
9 98922041 109298754
9 109298755 121321537
9 121321538 132165470
9 132165471 141124247
10 1 15026068
10 15026069 29323236
10 29323237 42372579
10 42372580 55103572
10 55103573 69900148
10 69900149 82414679
10 82414680 95396368
10 95396369 110317705
10 110317706 122407323
10 122407324 135524334
11 1 15742552
11 15742553 30141357
11 30141358 47006137
11 47006138 62223771
11 62223772 76797209
11 76797210 90966490
11 90966491 106520894
11 106520895 120766806
11 120766807 134946396
12 1 15241484
12 15241485 30512406
12 30512407 46024229
12 46024230 61123729
12 61123730 76511314
12 76511315 89682122
12 89682123 104848696
12 104848697 119754110
12 119754111 133841575
13 1 20686720
13 20686721 29257551
13 29257552 44901409
13 44901410 58410626
13 58410627 73934089
13 73934090 88559882
13 88559883 102300523
13 102300524 115108993
14 1 21589402
14 21589403 28466533
14 28466534 41615502
14 41615503 55233681
14 55233682 67992317
14 67992318 81579714
14 81579715 95750867
14 95750868 107289436
15 1 21131604
15 21131605 30165568
15 30165569 44198049
15 44198050 59694116
15 59694117 73628714
15 73628715 88369943
15 88369944 102521131
16 1 13154437
16 13154438 27445755
16 27445756 46399473
16 46399474 52035823
16 52035824 65938566
16 65938567 78456292
16 78456293 90292766
17 1 13894637
17 13894638 27334244
17 27334245 41772087
17 41772088 55357541
17 55357542 69387817
17 69387818 81185372
18 1 14440799
18 14440800 26875587
18 26875588 39892648
18 39892649 55213838
18 55213839 66125817
18 66125818 78017073
19 1 15648610
19 15648611 30727954
19 30727955 46102697
19 46102698 59118924
20 1 13689864
20 13689865 25344231
20 25344232 38436761
20 38436762 52472549
20 52472550 62963436
21 1 15950982
21 15950983 24696231
21 24696232 37870779
21 37870780 48119634
22 1 17674295
22 17674296 26791628
22 26791629 39307894
22 39307895 51240820
